,,,,,,
2,क्या बीजेपी को प्रियंका की टक्कर में वरुण गांधी को खड़ा करना चाहिए और क्यों ?,,,,,
2,Narander modi ji ka speech aapko ksa lgta h ?,,,,,
2,क्या ममता बनर्जी को धरने में बैठने से कोई फायदा प्राप्त होगा,,,,,
2,भारत की राजनीति में सबसे घटिया आदमी कौन है ?,,,,,
2,अरविंद केजरीवाल को प्रधानमंत्री मोदी इतने बुरे क्यों लगते हैं ?,,,,,
2,पीएम मोदी राफेल सौदे से जुड़े विपक्ष के सवालों का जवाब क्यों नहीं दे रहे हैं?,,,,,
2,यदि सपा बसपा गठबंधन में कॉन्ग्रेस भी शामिल हो जाए तो क्या भाजपा कमजोर पड़ जाएगी? आपको क्या लगता है?,,,,,
2,हिंदू-मुसलमान विवाद से किसी देश को किस प्रकार की हानि होती है?,,,,,
2,कौन सा भाषा है जो कि सब से ज्यादा देशों में बोला जाता है ? ?,,,,,
2,गौरव जी आप यह बताइए कि आप ने बीजेपी की पार्टी क्यों ज्वाइन करी थी ?,,,,,
2,भारत की राजधानी दिल्ली को पूर्ण राज्य का दर्जा मिलना चाहिए या नहीं इस पर अपना जवाब प्रकट करें ? ?,,,,,
2,हमारे भारत के कुछ जवान शहीद हो गए हैं और तो आप लोग अपनी अपनी राय दें कि हमें उन लोगों का मुकाबला किस तरह करना चाहिए ? ?,,,,,
2,अधिकांशतः भ्रष्ट नेता इंडिया में ही क्यों होते हैं?,,,,,
2,जम्मू कश्मीर के पुलवामा में हुए आतंकी हमले पर पाकिस्तान के प्रति हमें कैसा बर्ताव करना चाहिए इस पर आप क्या कहेंगे जिस से हमारे जवान शहीद हुए हैं इस का जवाब सर्जिकल स्ट्राइक की तरह ही देना चाहिए?,,,,,
2,आपके अनुसार भारतीय राजनीति में किस बड़े सुधार की आवश्यकता है?,,,,,
2,कश्मीर की कुछ लोग पाकिस्तान का साथ देते हैं अब भारत को उनके साथ क्या करना चाहिए?,,,,,
2,भारत मे जो पाकिस्तान के चहिते है उनको सरकार कुछ सजा देगी या नही ?,,,,,
2,100 में से 90 प्रतिशत मुस्लिम ही क्यों आतंकवादी होते है,,,,,
2,पुलवामा में हुए आतंकवादी हमले के 4 दिन बीत गए हैं अभी तक सरकार ने आतंकवादियों के खिलाफ कोई ठोस कार्रवाई क्यों नहीं की?,,,,,
2,आजकल भारत जैसे देश में बहुत सारे मुद्दे हैं उसमें से प्रमुख मुद्दे आतंकवाद बेरोजगारी भ्रष्टाचार और प्रदूषण आदि मुद्दे हैं आप सभी इन मुद्दों में से किस मुद्दे को ज्यादा गंभीर मानते हैं ? ?,,,,,
2,भारत में कुछ जगहों से कश्मीरियों को निकाला जा रहा है क्योंकि कुछ कश्मीरी हमारी सेना के खिलाफ पत्थर मारते है क्या ये सही है ?,,,,,
2,लोकसभा चुनाव के मद्देनजर भाजपा और एआईडीएमके के गठबंधन को आप कैसे देखते हैं?,,,,,
2,भारत का जो कानून है वह लचीला हैं ? अगर हां तो क्यों है? ? विस्तार से समझाएं !,,,,,
